Sex_I,Sex_M,Sex_F,Length,Diameter,Height,Weight,Age,Shucked Weight,Viscera Weight
0,0,1,1.4375,1.175,0.4125,24.6357155,9.0,12.3320325,5.5848515
0,1,0,0.8875,0.65,0.2125,5.40057975,6.0,2.2963095,1.37495075
1,0,0,1.0375,0.775,0.25,7.95203475,6.0,3.231843,1.60174675
0,0,1,1.175,0.8875,0.25,13.48018725,10.0,4.74854125,2.28213475
1,0,0,0.8875,0.6625,0.2125,6.90310325,6.0,3.458639,1.48834875
0,0,1,1.55,1.1625,0.35,28.6613445,8.0,13.5794105,6.76135575
0,0,1,1.3,1.0,0.325,17.70426275,15.0,6.0951425,5.85417175
0,1,0,1.325,1.0125,0.375,23.57260925,10.0,9.979024,5.3013565
1,0,0,1.5875,1.25,0.4125,42.2124055,13.0,20.2698925,9.76640275
1,0,0,0.9125,0.6875,0.3375,6.80388,7.0,3.061746,1.26155275
0,1,0,0.825,0.5375,0.1875,3.24601775,6.0,1.2757275,0.75126175
0,0,1,1.3625,1.05,0.4375,21.375523,10.0,7.257472,5.03203625
0,1,0,0.8625,0.6375,0.225,5.68407475,9.0,2.664853,0.83631025
1,0,0,1.375,1.075,0.3625,20.184844,10.0,8.57572375,4.309124
1,0,0,1.225,0.95,0.3,14.9968855,11.0,6.13766675,3.9405805
0,0,1,1.6375,1.2875,0.5,42.354153,12.0,20.56756225,8.7599955
0,1,0,1.6,1.3125,0.45,37.23706825,10.0,13.79203175,8.49067525
1,0,0,1.0625,0.775,0.225,8.5331995,7.0,3.92640575,1.8427175
0,1,0,1.475,1.1,0.375,27.08794725,11.0,10.375917,6.87475375
1,0,0,0.7625,0.575,0.1875,4.12485225,6.0,1.68679525,0.86465975
0,1,0,1.1125,0.8,0.3,11.736693,7.0,5.6415505,2.551455
0,0,1,1.625,1.3125,0.475,39.2640575,11.0,25.16018125,8.77417025
1,0,0,0.925,0.6875,0.2375,7.2858215,6.0,2.87747425,1.5592225
1,0,0,0.575,0.4375,0.1625,1.82854275,5.0,0.737087,0.29766975
0,0,1,1.2625,0.975,0.325,19.107563,9.0,8.97261675,3.9972795
0,1,0,1.2625,1.0,0.3875,23.85610425,12.0,7.69688925,5.03203625
0,1,0,1.3375,1.075,0.35,20.31241675,8.0,8.09378225,4.52174525
0,1,0,1.525,1.2125,0.4375,35.28095275,12.0,15.422128,8.4198015
0,0,1,1.575,1.2875,0.4,37.874932,11.0,15.6772735,9.08601475
1,0,0,1.0875,0.8125,0.3,11.32562525,8.0,5.14543425,1.7293195
0,1,0,1.0625,0.875,0.2625,11.1413535,9.0,3.685435,1.7860185
1,0,0,1.25,0.95,0.3375,14.98271075,8.0,6.406987,3.4869885
1,0,0,1.2625,0.975,0.4625,17.36406875,7.0,7.5693165,4.025629
0,0,1,1.4875,1.1875,0.425,35.3518265,20.0,13.60776,6.3786375
0,1,0,1.55,1.225,0.475,34.529691,13.0,15.46465225,8.40562675
0,1,0,1.4,1.0375,0.325,21.58814425,8.0,10.47514025,4.819415
1,0,0,1.1125,0.8625,0.2625,11.5949455,7.0,4.74854125,2.87747425
0,0,1,1.0125,0.775,0.3,8.77417025,13.0,3.912231,1.644271
1,0,0,0.75,0.575,0.2,3.61456125,8.0,1.23320325,0.75126175
1,0,0,1.05,0.825,0.25,9.979024,9.0,4.63514325,2.5231055
1,0,0,1.4375,1.125,0.3375,22.8780465,10.0,10.24834425,4.989512
1,0,0,0.8,0.5125,0.2,5.1312595,5.0,2.494756,0.963883
0,0,1,1.7,1.4,0.4875,50.39123625,11.0,24.4089195,9.128539
0,1,0,1.5125,1.1875,0.4375,34.0477495,10.0,15.29455525,7.7961125
1,0,0,1.0375,0.775,0.2375,8.8166945,8.0,3.18931875,1.77184375
0,0,1,1.725,1.35,0.4625,44.55123925,15.0,19.66037825,9.015141
0,1,0,1.25,1.025,0.375,18.767369,11.0,7.98038425,3.8838815
0,0,1,1.725,1.45,0.4875,47.003471,10.0,20.071446,10.24834425
0,0,1,1.375,1.175,0.375,25.4295015,9.0,10.6877615,5.216308
0,1,0,1.525,1.175,0.3875,29.27085875,9.0,14.0897015,6.16601625
0,1,0,1.1375,0.875,0.275,12.984071,8.0,5.6699,3.1467945
0,1,0,1.8,1.3625,0.4875,49.54075125,11.0,23.28911425,10.8578585
1,0,0,1.375,1.1,0.4125,24.39474475,17.0,8.845044,4.7910655
0,0,1,1.3125,1.025,0.3375,20.08562075,11.0,8.3064035,4.32329875
1,0,0,1.175,0.8875,0.2875,11.77921725,7.0,4.7343665,2.381358
0,0,1,1.775,1.4125,0.4875,48.94541175,17.0,18.086981,9.53960675
0,0,1,1.4375,1.1625,0.35,27.158821,9.0,12.530479,5.14543425
1,0,0,0.6875,0.5,0.1375,2.62232875,4.0,1.077281,0.5953395
1,0,0,1.325,0.95,0.3125,17.463292,8.0,8.278054,3.2034935
0,0,1,1.2625,0.9375,0.45,16.102516,12.0,6.59125875,4.23825025
1,0,0,1.0625,0.95,0.2625,9.25611175,10.0,3.64291075,2.22543575
1,0,0,1.075,0.825,0.25,12.7289255,6.0,7.200773,2.33883375
1,0,0,0.825,0.65,0.2,5.386405,7.0,2.16873675,1.09145575
1,0,0,1.6375,1.2875,0.3625,35.436875,15.0,14.92601175,8.0229085
0,0,1,1.6125,1.25,0.5,40.49726075,11.0,18.1153305,8.6465975
0,1,0,1.3125,1.0375,0.4,18.27125275,12.0,7.37087,4.46504625
0,1,0,1.6875,1.3,0.3625,38.68289275,11.0,15.7906715,9.65300475
1,0,0,1.275,1.1375,0.3375,19.43358225,9.0,8.15048125,4.365823
0,1,0,1.4625,1.1375,0.375,27.9809565,11.0,12.34620725,5.88252125
0,1,0,0.925,0.7,0.25,7.144074,8.0,3.01922175,1.68679525
0,1,0,0.7,0.5125,0.25,3.30271675,5.0,1.54504775,0.80796075
0,0,1,1.325,1.05,0.425,23.473386,6.0,11.623295,5.896696
0,1,0,0.875,0.6375,0.2125,6.08096775,13.0,2.83495,1.31825175
0,1,0,1.525,1.1875,0.3875,33.112216,10.0,15.705623,6.7755305
0,1,0,1.125,0.8375,0.3125,12.68640125,6.0,6.13766675,3.572037
1,0,0,1.4625,1.175,0.425,27.9242575,10.0,10.47514025,6.78970525
1,0,0,1.35,1.075,0.35,23.23241525,9.0,11.15552825,4.89028875
0,0,1,1.35,1.0875,0.4375,25.287754,13.0,9.128539,4.932813
1,0,0,1.325,1.0,0.3625,15.7339725,9.0,5.48562825,3.69960975
0,1,0,1.9375,1.425,0.55,57.606184,17.0,20.8368825,13.48018725
0,0,1,1.3125,1.0,0.2875,17.84601025,11.0,7.24329725,4.082328
0,0,1,1.55,1.25,0.4375,32.488527,13.0,13.5227115,6.520385
0,1,0,1.575,1.2875,0.4,28.803092,19.0,11.94931425,6.917278
0,1,0,1.25,1.0,0.3125,16.93882625,9.0,7.654365,3.61456125
0,1,0,1.85,1.45,0.5125,67.5001595,12.0,23.11901725,13.31009025
1,0,0,1.05,0.8125,0.25,10.432616,11.0,4.74854125,1.77184375
0,0,1,1.4,1.05,0.45,47.18774275,9.0,21.98503725,9.922325
1,0,0,1.3,0.95,0.35,14.8834875,11.0,5.03203625,3.2601925
0,1,0,1.575,1.2,0.4125,36.457457,8.0,17.123098,7.6827145
0,1,0,1.5,1.2375,0.4875,29.97959625,26.0,10.886208,5.386405
0,1,0,1.2,0.9375,0.3625,22.0275615,9.0,6.123492,3.685435
0,1,0,1.5,1.275,0.4625,36.4291075,9.0,17.27902025,7.78193775
0,0,1,1.6,1.25,0.375,34.06192425,9.0,15.8473705,6.5487345
1,0,0,1.0125,0.775,0.1625,9.08601475,6.0,4.46504625,1.871067
